WORD_KOR WORD_ENG WORD_ENG_DESC WORD_KOR_DESC
입지급 RPAY receive AND PAYMENT 
 ROW ROW ROW 
상품 GD products 
 RORAC RORC RORAC 
 REOPEN ROPN reopen 
권리부 RON right on 
체감율 GDCR_RT successive diminution; decrease in order_rate 
 ROLL ROLL ROLL 
지리적 GEGR geographical 
직무 ROLE role 
일반 GEN general 
 GENERAL GENERAL GENERAL 
도로 ROAD road 
보증료율 GFRT guarantee fee rate 
 UNLIST UNLIST UNLIST 
참조무결성 RI REFERETIAL INTEGRITY 
주요거래정보 RI RISK Information 
대장 RGSTR register 
부리 GINT GIVE INTEREST 
권리자 RGMN Right holder (Man) 
권리율 RGHT_RT right_rate 
이권 RGHT right 
기간중 IPRD in(With) a period 
상각표 RFND_TB refund_table 
자회사 AFCO affiliated company 
계열사 AFCO affiliate company 
 IRC IRC Interest Rate Curve 
금리차 IRGP Interest gap 
 IRR IRR I    R    R 
선대 ADVN ADVANCED 
 IS IS IS 
발권 ISBN the issue of banknotes 
발급별 ISBY issue_BY 
 ISDA ISDA i nternational s ubscriber d ialing 
이격도 ISDE isolate degree 
 ISIN ISIN International Securities Identification Number 
 ISO ISO I nternational S tandardization O rganization 
채용 ADPT adopt 
피보험인 ISRT AN INSURANT 
피보험자 ISRT AN INSURANT 
 ISSUE ISSUE ISSUE 
 ISSUED ISSUED ISSUED 
 ISSUER ISSUER ISSUER 
적금 ISSV INSTALLMENT_SAVINGS 
 ADDR ADDR address 
